"","y","x"
"1",0.296105175709061,0
"2",0.0196763118341337,1
"3",0.441736094404416,2
"4",0.144848928120425,3
"5",0.36581964039778,4
"6",0.118247309329628,5
"7",0.54600472305236,6
"8",0.30160786251067,7
"9",-0.263792131257806,8
"10",0.753944920327659,9
"11",0.534113387515092,10
"12",0.592315616979852,11
"13",0.848895043557336,12
"14",0.782248879916968,13
"15",0.666781645061727,14
"16",0.806381098734714,15
"17",0.980481206081853,16
"18",1.26959638841996,17
"19",0.910143838453082,18
"20",0.919951941159577,19
"21",0.739159330655251,20
"22",1.21220842029699,21
"23",1.42570637292325,22
"24",1.03926173473937,23
"25",0.71720571153366,24
"26",0.918118648417694,25
"27",0.892339951916474,26
"28",0.629315927140095,27
"29",0.586209809416694,28
"30",1.03534417070308,29
"31",1.09064216018193,30
"32",0.740886814943736,31
"33",1.01813727304001,32
"34",0.56726793667865,33
"35",0.884333801094529,34
"36",0.643536348633332,35
"37",1.12369551587894,36
"38",0.781831192601214,37
"39",0.684017354572129,38
"40",0.918605232294017,39
"41",0.458635597012014,40
"42",0.847379102071644,41
"43",0.828036360472103,42
"44",0.378444367833722,43
"45",0.583247739815932,44
"46",0.351464427684242,45
"47",-0.0124818137506518,46
"48",-0.170002367759857,47
"49",-0.294345801138245,48
"50",0.605236867796148,49
"51",-0.0126357919557988,50
"52",-0.232955976612186,51
"53",0.193825390141846,52
"54",-0.107240544531648,53
"55",-0.219439561376478,54
"56",-0.599646078988078,55
"57",-0.0437075993012929,56
"58",-0.08913728007947,57
"59",0.0830031547085569,58
"60",-0.733356071344916,59
"61",-0.837939195932451,60
"62",-0.305392188601938,61
"63",-0.609108059580055,62
"64",-1.14875066032968,63
"65",-1.4885563475242,64
"66",-0.438855637502167,65
"67",-0.813395958266185,66
"68",-1.03764502018956,67
"69",-0.704879043809951,68
"70",-1.29011330211576,69
"71",-0.9745950521249,70
"72",-0.822476988581042,71
"73",-1.08909532554467,72
"74",-1.3076179401294,73
"75",-1.29478947482008,74
"76",-0.700225235905279,75
"77",-0.730393274503005,76
"78",-0.661409667967849,77
"79",-0.603140898242482,78
"80",-0.967697967825005,79
"81",-1.02587612507767,80
"82",-1.14753905606244,81
"83",-0.713642659917064,82
"84",-0.612460292885459,83
"85",-0.517421354873645,84
"86",-0.633911098353455,85
"87",-0.867417807965808,86
"88",-0.434931369266496,87
"89",-0.363592032425206,88
"90",-0.848840737961387,89
"91",-0.415535919854375,90
"92",-0.482309065817529,91
"93",-0.887055188224601,92
"94",-0.416634604764223,93
"95",-0.0676671900402352,94
"96",-0.136588689556344,95
"97",-0.086881924955924,96
"98",0.0171613322437069,97
"99",-0.409118915354343,98
"100",-0.252378979537618,99
"101",0.398747927898086,100
