EmployeeId,age,volturn,Gender,npjc,salary
1.0,60.0,0.0,1.0,0.0,58547.32
2.0,61.0,0.0,1.0,0.0,105218.0
3.0,43.0,0.0,1.0,0.0,39867.54
4.0,46.0,0.0,2.0,0.0,57488.04
5.0,39.0,0.0,2.0,0.0,118057.57
6.0,47.0,0.0,2.0,0.0,85016.25
7.0,54.0,0.0,1.0,0.0,60475.53
8.0,47.0,0.0,1.0,0.0,47389.95
9.0,45.0,0.0,1.0,,88162.0
10.0,44.0,0.0,1.0,0.0,69040.85
11.0,45.0,0.0,2.0,0.0,75366.6
12.0,40.0,0.0,1.0,0.0,63565.28
13.0,39.0,0.0,1.0,0.0,75176.68
14.0,43.0,0.0,1.0,0.0,86011.97
15.0,40.0,0.0,2.0,0.0,85762.15
16.0,51.0,0.0,1.0,0.0,48723.41
17.0,37.0,0.0,2.0,,39048.5
18.0,39.0,0.0,2.0,0.0,73696.65
19.0,48.0,0.0,1.0,0.0,47286.0
20.0,42.0,0.0,2.0,0.0,65384.88
21.0,45.0,0.0,1.0,0.0,76662.0
22.0,37.0,1.0,1.0,0.0,46170.42
23.0,51.0,0.0,2.0,0.0,74037.95
24.0,37.0,0.0,1.0,0.0,64475.64
25.0,39.0,0.0,1.0,0.0,47747.1
26.0,39.0,0.0,2.0,0.0,81363.58
27.0,40.0,1.0,2.0,0.0,42268.24
28.0,39.0,0.0,2.0,1.0,82162.0
29.0,45.0,0.0,1.0,0.0,66506.96
30.0,46.0,0.0,2.0,0.0,72630.84
31.0,38.0,0.0,2.0,0.0,103072.93
32.0,42.0,0.0,2.0,0.0,43644.6
33.0,44.0,0.0,1.0,0.0,61362.0
34.0,43.0,0.0,2.0,0.0,86651.41
35.0,36.0,1.0,1.0,0.0,46264.23
36.0,42.0,1.0,1.0,0.0,52762.8
37.0,51.0,0.0,1.0,0.0,73262.63
38.0,37.0,0.0,1.0,0.0,58339.27
39.0,47.0,0.0,1.0,0.0,56362.0
40.0,65.0,0.0,2.0,0.0,98276.1
41.0,47.0,0.0,1.0,0.0,38279.4
42.0,38.0,1.0,1.0,0.0,69312.0
43.0,45.0,0.0,1.0,0.0,48540.92
44.0,40.0,0.0,1.0,0.0,56362.0
45.0,44.0,0.0,2.0,0.0,78396.34
46.0,45.0,1.0,2.0,0.0,47844.86
47.0,40.0,1.0,1.0,0.0,76662.0
48.0,34.0,0.0,1.0,0.0,56362.0
49.0,40.0,1.0,1.0,,66462.0
50.0,36.0,1.0,2.0,0.0,49157.5
51.0,36.0,1.0,2.0,0.0,56310.28
52.0,41.0,0.0,2.0,0.0,61772.0
53.0,35.0,0.0,2.0,0.0,67207.42
54.0,37.0,1.0,1.0,0.0,56030.79
55.0,37.0,0.0,1.0,,47045.03
56.0,34.0,0.0,2.0,0.0,98486.81
57.0,35.0,0.0,1.0,,37067.4
58.0,50.0,0.0,1.0,0.0,68764.56
59.0,41.0,0.0,2.0,0.0,39240.5
60.0,45.0,1.0,2.0,0.0,40101.83
61.0,43.0,0.0,2.0,0.0,111474.1
62.0,46.0,0.0,1.0,0.0,79044.47
63.0,33.0,0.0,1.0,0.0,45789.01
64.0,31.0,0.0,2.0,0.0,37005.68
65.0,44.0,0.0,2.0,0.0,42876.39
66.0,34.0,0.0,2.0,0.0,63792.0
67.0,38.0,1.0,2.0,0.0,65787.03
68.0,42.0,1.0,1.0,0.0,85164.61
69.0,34.0,0.0,1.0,0.0,70380.43
70.0,42.0,0.0,1.0,1.0,61871.7
71.0,43.0,0.0,1.0,0.0,76274.4
72.0,39.0,0.0,2.0,0.0,72913.73
73.0,45.0,0.0,1.0,0.0,50190.37
74.0,51.0,0.0,2.0,0.0,78838.28
75.0,33.0,0.0,1.0,0.0,62382.64
76.0,34.0,0.0,2.0,0.0,65429.43
77.0,34.0,1.0,2.0,0.0,44620.08
78.0,34.0,0.0,1.0,0.0,35032.05
79.0,36.0,1.0,2.0,0.0,37122.21
80.0,48.0,0.0,1.0,0.0,64216.33
81.0,32.0,1.0,2.0,0.0,37182.91
82.0,38.0,0.0,2.0,,44948.0
83.0,38.0,0.0,2.0,0.0,50895.84
84.0,38.0,1.0,2.0,0.0,57407.01
85.0,34.0,1.0,2.0,0.0,57700.44
86.0,36.0,0.0,2.0,0.0,52702.2
87.0,39.0,0.0,2.0,0.0,56362.0
88.0,36.0,0.0,2.0,0.0,47374.93
89.0,34.0,0.0,1.0,0.0,56362.0
90.0,31.0,0.0,2.0,0.0,43153.81
91.0,32.0,1.0,2.0,0.0,49604.29
92.0,53.0,0.0,2.0,0.0,56362.0
93.0,43.0,0.0,2.0,0.0,48871.45
94.0,35.0,0.0,1.0,0.0,53427.42
95.0,35.0,0.0,1.0,0.0,58166.38
96.0,37.0,0.0,2.0,0.0,48642.0
97.0,31.0,0.0,1.0,0.0,59481.62
98.0,31.0,0.0,1.0,0.0,34025.13
99.0,32.0,0.0,1.0,0.0,44613.42
100.0,31.0,0.0,2.0,0.0,56322.0
101.0,35.0,0.0,1.0,0.0,37093.75
102.0,32.0,0.0,1.0,0.0,43262.0
103.0,42.0,0.0,2.0,0.0,53586.99
104.0,28.0,1.0,2.0,0.0,32668.5
105.0,35.0,0.0,2.0,0.0,56362.0
106.0,34.0,1.0,1.0,0.0,57207.03
107.0,43.0,0.0,1.0,0.0,42574.14
108.0,40.0,1.0,1.0,,63341.24
109.0,35.0,0.0,2.0,0.0,92742.84
110.0,41.0,0.0,2.0,0.0,46869.66
111.0,36.0,0.0,2.0,,48652.34
112.0,30.0,0.0,1.0,0.0,58048.0
113.0,31.0,0.0,2.0,0.0,51662.0
114.0,39.0,0.0,1.0,0.0,45042.0
115.0,47.0,1.0,2.0,0.0,47794.56
116.0,31.0,0.0,1.0,0.0,42186.0
117.0,33.0,0.0,2.0,1.0,63662.0
118.0,46.0,0.0,2.0,0.0,63408.2
119.0,32.0,0.0,2.0,0.0,64870.8
120.0,46.0,0.0,1.0,0.0,98959.6
121.0,31.0,0.0,2.0,0.0,92562.0
122.0,30.0,1.0,1.0,0.0,61593.27
123.0,40.0,0.0,2.0,0.0,94232.72
124.0,32.0,0.0,2.0,0.0,43818.0
125.0,45.0,0.0,1.0,0.0,87711.66
126.0,44.0,0.0,2.0,0.0,47286.0
127.0,34.0,0.0,2.0,0.0,47042.88
128.0,34.0,0.0,2.0,0.0,50370.36
129.0,39.0,0.0,2.0,0.0,84059.86
130.0,36.0,0.0,1.0,0.0,46066.5
131.0,60.0,0.0,2.0,0.0,115447.5
132.0,63.0,0.0,1.0,0.0,44162.0
133.0,49.0,0.0,1.0,0.0,83386.0
134.0,58.0,0.0,1.0,1.0,66407.03
135.0,53.0,0.0,1.0,0.0,48884.38
136.0,56.0,0.0,1.0,0.0,50851.28
137.0,49.0,0.0,1.0,0.0,85080.1
138.0,64.0,1.0,2.0,0.0,63020.36
139.0,45.0,0.0,1.0,0.0,64261.04
140.0,55.0,0.0,1.0,0.0,48042.0
141.0,64.0,0.0,2.0,0.0,72254.8
142.0,59.0,0.0,2.0,0.0,85931.94
143.0,52.0,0.0,2.0,0.0,83356.97
144.0,52.0,0.0,1.0,0.0,49632.74
145.0,52.0,0.0,2.0,0.0,72254.8
