NumberOfCrews,RoomsClean,Variance,InvVariance
2.0,6.0,8.999999999999996,0.11111111111111116
2.0,14.0,8.999999999999996,0.11111111111111116
2.0,6.0,8.999999999999996,0.11111111111111116
2.0,11.0,8.999999999999996,0.11111111111111116
2.0,10.0,8.999999999999996,0.11111111111111116
2.0,6.0,8.999999999999996,0.11111111111111116
2.0,10.0,8.999999999999996,0.11111111111111116
2.0,6.0,8.999999999999996,0.11111111111111116
2.0,6.0,8.999999999999996,0.11111111111111116
4.0,11.0,24.666666666666675,0.04054054054054053
4.0,19.0,24.666666666666675,0.04054054054054053
4.0,15.0,24.666666666666675,0.04054054054054053
4.0,18.0,24.666666666666675,0.04054054054054053
4.0,9.0,24.666666666666675,0.04054054054054053
4.0,22.0,24.666666666666675,0.04054054054054053
6.0,29.0,22.0,0.045454545454545456
6.0,19.0,22.0,0.045454545454545456
6.0,19.0,22.0,0.045454545454545456
6.0,27.0,22.0,0.045454545454545456
6.0,26.0,22.0,0.045454545454545456
8.0,37.0,44.125,0.0226628895184136
8.0,22.0,44.125,0.0226628895184136
8.0,33.0,44.125,0.0226628895184136
8.0,23.0,44.125,0.0226628895184136
8.0,38.0,44.125,0.0226628895184136
8.0,31.0,44.125,0.0226628895184136
8.0,33.0,44.125,0.0226628895184136
8.0,40.0,44.125,0.0226628895184136
10.0,37.0,62.839285714285715,0.01591361182154021
10.0,33.0,62.839285714285715,0.01591361182154021
10.0,41.0,62.839285714285715,0.01591361182154021
10.0,35.0,62.839285714285715,0.01591361182154021
10.0,55.0,62.839285714285715,0.01591361182154021
10.0,52.0,62.839285714285715,0.01591361182154021
10.0,38.0,62.839285714285715,0.01591361182154021
10.0,42.0,62.839285714285715,0.01591361182154021
12.0,37.0,53.1428571428572,0.01881720430107525
12.0,47.0,53.1428571428572,0.01881720430107525
12.0,55.0,53.1428571428572,0.01881720430107525
12.0,55.0,53.1428571428572,0.01881720430107525
12.0,47.0,53.1428571428572,0.01881720430107525
12.0,39.0,53.1428571428572,0.01881720430107525
12.0,41.0,53.1428571428572,0.01881720430107525
16.0,51.0,144.01111111111106,0.006943908649023997
16.0,46.0,144.01111111111106,0.006943908649023997
16.0,45.0,144.01111111111106,0.006943908649023997
16.0,60.0,144.01111111111106,0.006943908649023997
16.0,46.0,144.01111111111106,0.006943908649023997
16.0,69.0,144.01111111111106,0.006943908649023997
16.0,72.0,144.01111111111106,0.006943908649023997
16.0,65.0,144.01111111111106,0.006943908649023997
16.0,65.0,144.01111111111106,0.006943908649023997
16.0,78.0,144.01111111111106,0.006943908649023997
