Sorts/Hour,#Lines,#Sorters,#Truckers,LogSorts/Hr,Log#Lines,Log#Sorters,Log#Truckers
7668.0,4.0,27.0,16.0,8.944811104165534,1.3862943611198906,3.295836866004329,2.772588722239781
8204.0,4.0,27.0,17.0,9.012377119192271,1.3862943611198906,3.295836866004329,2.833213344056216
11382.0,6.0,31.0,22.0,9.339788439163069,1.791759469228055,3.4339872044851463,3.091042453358316
6666.0,3.0,25.0,13.0,8.804775258867686,1.0986122886681098,3.2188758248682006,2.5649493574615367
12328.0,7.0,38.0,16.0,9.419628376999952,1.9459101490553132,3.6375861597263857,2.772588722239781
17457.0,8.0,47.0,21.0,9.76749599332478,2.0794415416798357,3.8501476017100584,3.044522437723423
10016.0,4.0,29.0,16.0,9.211939093339879,1.3862943611198906,3.367295829986474,2.772588722239781
11581.0,6.0,40.0,26.0,9.357121103184378,1.791759469228055,3.6888794541139363,3.258096538021482
8628.0,5.0,31.0,14.0,9.062768007509048,1.6094379124341003,3.4339872044851463,2.6390573296152584
11774.0,6.0,32.0,23.0,9.373648989588206,1.791759469228055,3.4657359027997265,3.1354942159291497
13265.0,5.0,54.0,29.0,9.49288426657184,1.6094379124341003,3.9889840465642745,3.367295829986474
10918.0,5.0,31.0,26.0,9.298168082341704,1.6094379124341003,3.4339872044851463,3.258096538021482
9024.0,5.0,33.0,22.0,9.10764297373784,1.6094379124341003,3.4965075614664802,3.091042453358316
7998.0,3.0,25.0,19.0,8.986946789406764,1.0986122886681098,3.2188758248682006,2.9444389791664403
10648.0,7.0,34.0,17.0,9.273127360074948,1.9459101490553132,3.5263605246161616,2.833213344056216
10373.0,5.0,34.0,18.0,9.246961555431827,1.6094379124341003,3.5263605246161616,2.8903717578961645
11003.0,5.0,35.0,24.0,9.305923241869912,1.6094379124341003,3.5553480614894135,3.1780538303479458
14951.0,8.0,38.0,31.0,9.612533466213927,2.0794415416798357,3.6375861597263857,3.4339872044851463
12941.0,7.0,39.0,22.0,9.46815584482167,1.9459101490553132,3.6635616461296463,3.091042453358316
13327.0,6.0,32.0,27.0,9.497547331579726,1.791759469228055,3.4657359027997265,3.295836866004329
7576.0,3.0,34.0,11.0,8.932740634865914,1.0986122886681098,3.5263605246161616,2.3978952727983707
7013.0,4.0,28.0,6.0,8.85552084853691,1.3862943611198906,3.332204510175204,1.791759469228055
8300.0,3.0,26.0,18.0,9.02401079378469,1.0986122886681098,3.258096538021482,2.8903717578961645
6400.0,3.0,19.0,13.0,8.764053269347762,1.0986122886681098,2.9444389791664403,2.5649493574615367
14465.0,8.0,44.0,31.0,9.579487217410236,2.0794415416798357,3.784189633918261,3.4339872044851463
6802.0,3.0,24.0,8.0,8.82497196556714,1.0986122886681098,3.1780538303479458,2.0794415416798357
9992.0,4.0,28.0,25.0,9.209540051805414,1.3862943611198906,3.332204510175204,3.2188758248682006
6568.0,3.0,25.0,8.0,8.789964651132264,1.0986122886681098,3.2188758248682006,2.0794415416798357
7539.0,3.0,21.0,13.0,8.927844826211702,1.0986122886681098,3.044522437723423,2.5649493574615367
12314.0,8.0,43.0,24.0,9.418492105471156,2.0794415416798357,3.7612001156935624,3.1780538303479458
