DisplayFeet,Sales,SqrtDF,LogDF,InvDF
1.0,29.0,1.0,0.0,1.0
6.0,358.41,2.449489742783178,1.791759469228055,0.16666666666666666
7.0,382.3,2.6457513110645907,1.9459101490553132,0.14285714285714285
4.0,279.9,2.0,1.3862943611198906,0.25
6.0,400.4,2.449489742783178,1.791759469228055,0.16666666666666666
7.0,398.3,2.6457513110645907,1.9459101490553132,0.14285714285714285
5.0,279.9,2.23606797749979,1.6094379124341003,0.2
2.0,204.9,1.4142135623730951,0.6931471805599453,0.5
5.0,284.8,2.23606797749979,1.6094379124341003,0.2
7.0,357.8,2.6457513110645907,1.9459101490553132,0.14285714285714285
5.0,256.7,2.23606797749979,1.6094379124341003,0.2
1.0,25.3,1.0,0.0,1.0
2.0,220.4,1.4142135623730951,0.6931471805599453,0.5
1.0,41.9,1.0,0.0,1.0
7.0,281.2,2.6457513110645907,1.9459101490553132,0.14285714285714285
5.0,291.9,2.23606797749979,1.6094379124341003,0.2
5.0,316.4,2.23606797749979,1.6094379124341003,0.2
4.0,201.5,2.0,1.3862943611198906,0.25
3.0,237.5,1.7320508075688772,1.0986122886681098,0.3333333333333333
2.0,194.7,1.4142135623730951,0.6931471805599453,0.5
5.0,334.5,2.23606797749979,1.6094379124341003,0.2
5.0,286.5,2.23606797749979,1.6094379124341003,0.2
6.0,365.9,2.449489742783178,1.791759469228055,0.16666666666666666
6.0,321.3,2.449489742783178,1.791759469228055,0.16666666666666666
2.0,214.2,1.4142135623730951,0.6931471805599453,0.5
1.0,72.9,1.0,0.0,1.0
4.0,314.8,2.0,1.3862943611198906,0.25
7.0,328.3,2.6457513110645907,1.9459101490553132,0.14285714285714285
3.0,234.1,1.7320508075688772,1.0986122886681098,0.3333333333333333
3.0,317.9,1.7320508075688772,1.0986122886681098,0.3333333333333333
6.0,316.4,2.449489742783178,1.791759469228055,0.16666666666666666
7.0,293.2,2.6457513110645907,1.9459101490553132,0.14285714285714285
1.0,103.0,1.0,0.0,1.0
2.0,247.7,1.4142135623730951,0.6931471805599453,0.5
2.0,177.8,1.4142135623730951,0.6931471805599453,0.5
6.0,388.9,2.449489742783178,1.791759469228055,0.16666666666666666
5.0,332.1,2.23606797749979,1.6094379124341003,0.2
6.0,351.3,2.449489742783178,1.791759469228055,0.16666666666666666
5.0,262.5,2.23606797749979,1.6094379124341003,0.2
6.0,300.0,2.449489742783178,1.791759469228055,0.16666666666666666
3.0,199.0,1.7320508075688772,1.0986122886681098,0.3333333333333333
7.0,292.9,2.6457513110645907,1.9459101490553132,0.14285714285714285
4.0,247.3,2.0,1.3862943611198906,0.25
7.0,343.0,2.6457513110645907,1.9459101490553132,0.14285714285714285
2.0,213.2,1.4142135623730951,0.6931471805599453,0.5
6.0,310.5,2.449489742783178,1.791759469228055,0.16666666666666666
5.0,389.7,2.23606797749979,1.6094379124341003,0.2
