Day,Month,Year,Price,RelChange,Time,RiskFree
2.0,1.0,1992.0,31.0,0.0735931,92.0028,31.0
3.0,1.0,1992.0,32.5,0.0483871,92.0056,31.005828
6.0,1.0,1992.0,33.5,0.0307692,92.0139,31.011657095664003
7.0,1.0,1992.0,33.0,-0.0149254,92.0167,31.01748728719799
8.0,1.0,1992.0,32.125,-0.0265152,92.0194,31.023318574807988
9.0,1.0,1992.0,32.125,0.0,92.0222,31.029150958700054
10.0,1.0,1992.0,31.75,-0.0116732,92.025,31.034984439080294
13.0,1.0,1992.0,31.0,-0.0236221,92.0333,31.040819016154842
14.0,1.0,1992.0,32.0,0.0322581,92.0361,31.04665469012988
15.0,1.0,1992.0,32.125,0.00390625,92.0389,31.052491461211627
16.0,1.0,1992.0,34.375,0.0700389,92.0417,31.058329329606337
17.0,1.0,1992.0,33.875,-0.0145455,92.0444,31.064168295520307
20.0,1.0,1992.0,33.875,0.0,92.0528,31.070008359159868
21.0,1.0,1992.0,32.75,-0.0332103,92.0556,31.075849520731392
22.0,1.0,1992.0,33.0,0.00763359,92.0583,31.081691780441293
23.0,1.0,1992.0,32.625,-0.0113636,92.0611,31.08753513849602
24.0,1.0,1992.0,32.75,0.00383142,92.0639,31.093379595102057
27.0,1.0,1992.0,34.125,0.0419847,92.0722,31.099225150465937
28.0,1.0,1992.0,34.375,0.00732601,92.075,31.10507180479423
29.0,1.0,1992.0,32.75,-0.0472727,92.0778,31.11091955829353
30.0,1.0,1992.0,32.75,0.0,92.0806,31.116768411170494
31.0,1.0,1992.0,32.375,-0.0114504,92.0833,31.122618363631798
3.0,2.0,1992.0,34.0,0.0501931,92.0889,31.12846941588416
4.0,2.0,1992.0,35.0,0.0294118,92.0917,31.13432156813435
5.0,2.0,1992.0,34.875,-0.00357143,92.0944,31.140174820589163
6.0,2.0,1992.0,35.625,0.0215054,92.0972,31.146029173455435
7.0,2.0,1992.0,34.0,-0.034386,92.1,31.151884626940046
10.0,2.0,1992.0,34.875,0.0257353,92.1083,31.157741181249914
11.0,2.0,1992.0,35.375,0.0143369,92.1111,31.16359883659199
12.0,2.0,1992.0,35.875,0.0141343,92.1139,31.169457593173274
13.0,2.0,1992.0,36.625,0.0209059,92.1167,31.175317451200794
14.0,2.0,1992.0,38.125,0.0409556,92.1194,31.18117841088162
18.0,2.0,1992.0,37.625,-0.0131148,92.1306,31.18704047242287
19.0,2.0,1992.0,38.375,0.0199336,92.1333,31.192903636031687
20.0,2.0,1992.0,39.0,0.0162867,92.1361,31.198767901915264
21.0,2.0,1992.0,38.375,-0.0160256,92.1389,31.204633270280826
24.0,2.0,1992.0,37.75,-0.0162867,92.1472,31.210499741335642
25.0,2.0,1992.0,36.5,-0.0331126,92.15,31.216367315287016
26.0,2.0,1992.0,36.75,0.00684932,92.1528,31.22223599234229
27.0,2.0,1992.0,36.125,-0.0170068,92.1556,31.228105772708854
28.0,2.0,1992.0,37.5,0.0380623,92.1583,31.233976656594127
2.0,3.0,1992.0,37.875,0.01,92.1694,31.23984864420557
3.0,3.0,1992.0,37.625,-0.00660066,92.1722,31.24572173575068
4.0,3.0,1992.0,37.375,-0.00664452,92.175,31.251595931437006
5.0,3.0,1992.0,37.0,-0.0100334,92.1778,31.257471231472117
6.0,3.0,1992.0,36.875,-0.00337838,92.1806,31.263347636063635
9.0,3.0,1992.0,37.375,0.0135593,92.1889,31.269225145419217
10.0,3.0,1992.0,37.375,0.0,92.1917,31.275103759746557
11.0,3.0,1992.0,37.375,0.0,92.1944,31.280983479253393
12.0,3.0,1992.0,37.875,0.0133779,92.1972,31.286864304147496
13.0,3.0,1992.0,37.125,-0.019802,92.2,31.292746234636677
16.0,3.0,1992.0,37.125,0.0,92.2083,31.298629270928792
17.0,3.0,1992.0,37.625,0.013468,92.2111,31.304513413231728
18.0,3.0,1992.0,38.25,0.0166113,92.2139,31.310398661753418
19.0,3.0,1992.0,38.375,0.00326797,92.2167,31.31628501670183
20.0,3.0,1992.0,39.125,0.019544,92.2194,31.322172478284973
23.0,3.0,1992.0,38.625,-0.0127796,92.2278,31.328061046710893
24.0,3.0,1992.0,37.375,-0.0323625,92.2306,31.333950722187677
25.0,3.0,1992.0,37.625,0.00668896,92.2333,31.33984150492345
26.0,3.0,1992.0,38.0,0.00996678,92.2361,31.345733395126377
27.0,3.0,1992.0,36.75,-0.0328947,92.2389,31.351626393004665
30.0,3.0,1992.0,36.875,0.00340136,92.2472,31.35752049876655
31.0,3.0,1992.0,36.625,-0.00677966,92.25,31.36341571262032
1.0,4.0,1992.0,37.125,0.0136519,92.25,31.369312034774296
2.0,4.0,1992.0,36.375,-0.020202,92.2528,31.375209465436836
3.0,4.0,1992.0,36.25,-0.00343643,92.2556,31.38110800481634
6.0,4.0,1992.0,36.625,0.0103448,92.2639,31.38700765312125
7.0,4.0,1992.0,37.875,0.0341297,92.2667,31.392908410560036
8.0,4.0,1992.0,37.625,-0.00660066,92.2694,31.398810277341223
9.0,4.0,1992.0,38.0,0.00996678,92.2722,31.404713253673364
10.0,4.0,1992.0,38.625,0.0164474,92.275,31.410617339765057
13.0,4.0,1992.0,39.0,0.00970874,92.2833,31.416522535824935
14.0,4.0,1992.0,39.875,0.0224359,92.2861,31.422428842061674
15.0,4.0,1992.0,39.875,0.0,92.2889,31.428336258683984
16.0,4.0,1992.0,42.25,0.0595611,92.2917,31.43424478590062
20.0,4.0,1992.0,42.625,0.00887574,92.3028,31.440154423920372
21.0,4.0,1992.0,42.5,-0.00293255,92.3056,31.44606517295207
22.0,4.0,1992.0,42.0,-0.0117647,92.3083,31.45197703320459
23.0,4.0,1992.0,42.375,0.00892857,92.3111,31.457890004886835
24.0,4.0,1992.0,39.625,-0.0648968,92.3139,31.463804088207755
27.0,4.0,1992.0,40.0,0.00946372,92.3222,31.469719283376342
28.0,4.0,1992.0,40.375,0.009375,92.325,31.47563559060162
29.0,4.0,1992.0,42.375,0.0495356,92.3278,31.481553010092654
30.0,4.0,1992.0,41.5,-0.020649,92.3306,31.487471542058554
1.0,5.0,1992.0,40.875,-0.0150602,92.3333,31.493391186708465
4.0,5.0,1992.0,40.625,-0.00611621,92.3417,31.49931194425157
5.0,5.0,1992.0,40.5,-0.00307692,92.3444,31.505233814897093
6.0,5.0,1992.0,40.5,0.0,92.3472,31.511156798854294
7.0,5.0,1992.0,39.75,-0.0185185,92.35,31.51708089633248
8.0,5.0,1992.0,39.875,0.00314465,92.3528,31.523006107540994
11.0,5.0,1992.0,39.375,-0.0125392,92.3611,31.528932432689214
12.0,5.0,1992.0,39.75,0.00952381,92.3639,31.534859871986562
13.0,5.0,1992.0,39.875,0.00314465,92.3667,31.540788425642496
14.0,5.0,1992.0,39.375,-0.0125392,92.3694,31.54671809386652
15.0,5.0,1992.0,39.25,-0.0031746,92.3722,31.55264887686817
18.0,5.0,1992.0,39.375,0.00318471,92.3806,31.558580774857024
19.0,5.0,1992.0,39.25,-0.0031746,92.3833,31.5645137880427
20.0,5.0,1992.0,39.0,-0.00636943,92.3861,31.570447916634855
21.0,5.0,1992.0,39.0,0.0,92.3889,31.576383160843186
22.0,5.0,1992.0,39.125,0.00320513,92.3917,31.582319520877427
26.0,5.0,1992.0,38.0,-0.028754,92.4028,31.588256996947354
27.0,5.0,1992.0,39.125,0.0296053,92.4056,31.59419558926278
28.0,5.0,1992.0,39.25,0.00319489,92.4083,31.600135298033564
29.0,5.0,1992.0,39.875,0.0159236,92.4111,31.606076123469595
1.0,6.0,1992.0,41.5,0.0507837,92.4167,31.61201806578081
2.0,6.0,1992.0,40.5,-0.0240964,92.4194,31.617961125177178
3.0,6.0,1992.0,41.75,0.0308642,92.4222,31.623905301868714
4.0,6.0,1992.0,43.625,0.0449102,92.425,31.629850596065467
5.0,6.0,1992.0,44.0,0.00859599,92.4278,31.63579700797753
8.0,6.0,1992.0,43.875,-0.00284091,92.4361,31.641744537815033
9.0,6.0,1992.0,43.375,-0.011396,92.4389,31.647693185788143
10.0,6.0,1992.0,43.625,0.00576369,92.4417,31.653642952107074
11.0,6.0,1992.0,43.0,-0.0143267,92.4444,31.659593836982072
12.0,6.0,1992.0,43.125,0.00290698,92.4472,31.665545840623427
15.0,6.0,1992.0,43.75,0.0144928,92.4556,31.671498963241465
16.0,6.0,1992.0,44.0,0.00571429,92.4583,31.677453205046557
17.0,6.0,1992.0,41.625,-0.0539773,92.4611,31.68340856624911
18.0,6.0,1992.0,42.75,0.027027,92.4639,31.689365047059567
19.0,6.0,1992.0,43.875,0.0263158,92.4667,31.695322647688418
22.0,6.0,1992.0,43.25,-0.014245,92.475,31.701281368346187
23.0,6.0,1992.0,43.5,0.00578035,92.4778,31.70724120924344
24.0,6.0,1992.0,43.75,0.00574713,92.4806,31.71320217059078
25.0,6.0,1992.0,43.0,-0.0171429,92.4833,31.719164252598855
26.0,6.0,1992.0,42.625,-0.00872093,92.4861,31.725127455478347
29.0,6.0,1992.0,43.75,0.026393,92.4944,31.73109177943998
30.0,6.0,1992.0,44.0,0.00571429,92.4972,31.737057224694517
1.0,7.0,1992.0,43.0,-0.0227273,92.5,31.743023791452764
2.0,7.0,1992.0,41.125,-0.0436047,92.5028,31.74899147992556
6.0,7.0,1992.0,40.75,-0.00911854,92.5139,31.75496029032379
7.0,7.0,1992.0,40.75,0.0,92.5167,31.760930222858374
8.0,7.0,1992.0,40.375,-0.00920245,92.5194,31.766901277740274
9.0,7.0,1992.0,41.25,0.0216718,92.5222,31.77287345518049
10.0,7.0,1992.0,41.0,-0.00606061,92.525,31.778846755390067
13.0,7.0,1992.0,41.75,0.0182927,92.5333,31.78482117858008
14.0,7.0,1992.0,42.125,0.00898204,92.5361,31.790796724961655
15.0,7.0,1992.0,41.75,-0.00890208,92.5389,31.79677339474595
16.0,7.0,1992.0,41.375,-0.00898204,92.5417,31.802751188144168
17.0,7.0,1992.0,40.75,-0.0151057,92.5444,31.80873010536754
20.0,7.0,1992.0,40.25,-0.0122699,92.5528,31.814710146627352
21.0,7.0,1992.0,39.875,-0.00931677,92.5556,31.82069131213492
22.0,7.0,1992.0,38.875,-0.0250784,92.5583,31.826673602101604
23.0,7.0,1992.0,39.0,0.00321543,92.5611,31.8326570167388
24.0,7.0,1992.0,39.25,0.00641026,92.5639,31.83864155625795
27.0,7.0,1992.0,39.875,0.0159236,92.5722,31.844627220870528
28.0,7.0,1992.0,41.375,0.0376176,92.575,31.850614010788053
29.0,7.0,1992.0,41.625,0.0060423,92.5778,31.856601926222083
30.0,7.0,1992.0,41.5,-0.003003,92.5806,31.862590967384214
31.0,7.0,1992.0,41.625,0.00301205,92.5833,31.868581134486085
3.0,8.0,1992.0,41.0,-0.015015,92.5889,31.87457242773937
4.0,8.0,1992.0,40.25,-0.0182927,92.5917,31.88056484735579
5.0,8.0,1992.0,39.125,-0.0279503,92.5944,31.886558393547094
6.0,8.0,1992.0,37.25,-0.0479233,92.5972,31.892553066525085
7.0,8.0,1992.0,37.0,-0.00671141,92.6,31.898548866501596
10.0,8.0,1992.0,37.875,0.0236487,92.6083,31.904545793688502
11.0,8.0,1992.0,38.0,0.00330033,92.6111,31.910543848297717
12.0,8.0,1992.0,37.125,-0.0230263,92.6139,31.9165430305412
13.0,8.0,1992.0,36.5,-0.016835,92.6167,31.92254334063094
14.0,8.0,1992.0,36.875,0.0212329,92.6194,31.92854477877898
17.0,8.0,1992.0,37.25,0.0101695,92.6278,31.934547345197394
18.0,8.0,1992.0,37.25,0.0,92.6306,31.940551040098295
19.0,8.0,1992.0,36.375,-0.0234899,92.6333,31.946555863693835
20.0,8.0,1992.0,35.625,-0.0206186,92.6361,31.952561816196212
21.0,8.0,1992.0,35.375,-0.00701754,92.6389,31.95856889781766
24.0,8.0,1992.0,34.0,-0.0388693,92.6472,31.964577108770452
25.0,8.0,1992.0,33.75,-0.00735294,92.65,31.970586449266904
